fa_jahr;gnr;gname;mwb_bj3_bj5;mStf;ordSt;nachSt;persSt;grstSt;handSt;erbSt;motfSt;konz;nve_mit;korr;rp_total;rp_pEinw;ri;MA;fehlRess;hFA_absch;bs_ra_proz;bs_ra_fr;ra
2021;1056;Greppen;1068;1.9332619907;3139381.5057;12794.066667;14350;313494.86667;155979.61667;2184240.4167;29566.666667;24038.75;0;0;5873845.889;5499.8557013;160.91868476;86.4;0;542562;0;0;0
2021;1057;Honau;380.5;1.8508331803;1288943.5555;0;5603.3333333;28737.816667;35998.133333;0;9505.6666667;9220.8083333;71908.833333;0;1449918.1472;3810.5601766;111.49207636;86.4;0;77240;0;0;0
2021;1058;Horw;13915.833333;1.55;64832373.987;337493.83333;202791.66667;2868835.1333;1352450.2333;385876.98333;305449.66667;264261.615;562785.57;0;71112318.688;5110.1732095;149.51707762;86.4;0;6090342;0;0;0
2021;1059;Kriens;27117.333333;2;71834314.698;196267.81667;390050;3273007.1333;1536669.5;531125.88333;575501;570568.62667;2936419.3133;0;81843923.971;3018.1405732;88.306900736;86.4;0;531853;0;0;0
2021;1061;Luzern;81495.333333;1.85;306932626.96;1678808.65;1249627;10818175.017;5433506.3;10494726.86;1650984.3333;3413033.275;30722027.503;0;372393515.9;4569.5072425;133.69788871;86.4;0;14670573;0.58;1603431;1603431
2021;1062;Malters;7164;2.05;15992841.876;25426.55;103758.33333;443338.81667;495100.11667;47065.45;187385.33333;162284.15;166816.99667;0;17624017.623;2460.0806285;71.978786472;86.4;3531036;0;0;0;3531036
2021;1063;Meggen;7061.8333333;0.9488997196;61794256.879;829701.86667;106358.33333;3469367.5833;1354681.3667;985367.96667;159514.66667;165652.955;0;0;68864901.618;9751.7030447;285.32225451;86.4;0;9009010;0;0;0
2021;1064;Meierskappel;1382;2.1878629435;4288815.9387;18220.45;18400;320226.01667;244520.78333;6240.9333333;42624;35370.898333;45340.22;0;5019759.2403;3632.2425762;106.27473335;86.4;0;236045;0;0;0
2021;1065;Root;4876.1666667;1.847440453;14799996.206;19932.55;65083.333333;664321.18333;566252.76667;76053.416667;108239.33333;458057.50333;2604862.7533;0;19362799.046;3970.9059123;116.18358579;86.4;0;1131022;0;0;0
2021;1066;Schwarzenberg;1705.1666667;2.2;3399559.8523;10275.716667;23633.333333;148455.9;98743.366667;11047.783333;101737.33333;47532.441667;17736.04;0;3858721.7673;2262.9587141;66.21125348;86.4;1176579;0;0;0;1176579
2021;1067;Udligenswil;2281;1.95;7437068.8562;38686.7;31091.666667;439077.43333;146015.68333;25402.333333;55245.666667;43134.485;97959.136667;0;8313681.9612;3644.7531614;106.64077694;86.4;0;394747;0;0;0
2021;1068;Vitznau;1356.5;1.406916991;7376332.1779;12405.55;19191.666667;462267.83333;281113.46667;269767.15;46410.333333;61719.266667;0;0;8529207.4446;6287.6575338;183.96875037;86.4;0;882081;0;0;0
